,,,,,,,,,,,,,,,,,,
,,,,,,,,Python,R,Tasks,Python,R,Python,R,,,Python,R
Tasks,Python,R,Python,R,Times,Times,Dataset1,1273.95,3688.56,Decision Tree,199.25,2.48,6745.84,10.22,,Dataset1,403.58,829.73
Decision Tree,563.03,50.64,18084.66,91.69,32.12024226,1.810624013,Dataset2,29955,82571.03,Gaussian Naive Bayes,0.35,0.23,0.59,0.78,,Dataset2,10978.23,15515.95
Gaussian Regression,0.72,2.18,1.33,15.26,1.847222222,7,,,,Logistic Regression,0.79,3.41,0.33,6.32,,,,
Linear Regression,5.07,248.47,11.37,765.34,2.24260355,3.080210891,,,,Random Forest ,3.87,42.48,10.15,214.32,,,,
Neural Network Regression,142.25,861.15,548.73,1207.37,3.857504394,1.402043779,,,,Support Vector Machine,199.32,781.13,4221.32,15284.31,,,,
SVM,562.88,2526.12,11308.91,80491.37,20.0911562,31.86363672,,,,,403.58,829.73,10978.23,15515.95,,,,
,1273.95,3688.56,29955,82571.03,23.51348169,22.38570879,,,,,,,,,,,,
